Company Name,Market_cap,Qtr_sales,Price_sales_ratio
Rane Holdings,3711.8,593.74,6.25
Team Lease Serv.,3677.34,918.06,4.01
Oriental Bank,3674.6,4262.08,0.86
ITDC,3619.04,102.14,35.43
JP Power Ven.,3597.6,1137.17,3.16
SCI,3582.0,879.56,4.07
JK Tyre & Indust,3577.98,2123.24,1.69
Deepak Nitrite,3531.9,371.14,9.52
Heidelberg Cem.,3531.77,491.23,7.19
Amber Enterp.,3529.87,1137.17,3.1
Sharda Cropchem,3528.07,325.46,10.84
Dixon Technolog.,3526.8,677.8,5.2
Himatsing. Seide,3511.08,595.61,5.89
La Opala RG,3510.93,69.77,50.32
HFCL,3482.71,714.42,4.87
Reliance Home,3470.6,403.0,8.61
Rupa & Co,3460.91,277.96,12.45
Hind.Construct.,3452.57,1137.17,3.04
Ent.Network,3380.99,148.42,22.78
Supreme Petroch.,3377.57,725.02,4.66
MASFINANCSER,3376.2,112.05,30.13
Thyrocare Tech.,3374.38,77.84,43.35
Prakash Inds.,3336.05,725.97,4.6
Repco Home Fin,3331.08,277.48,12.0
Sonata Software,3329.58,766.75,4.34
Central Dep. Ser,3316.31,47.24,70.2
Puravankara,3274.9,440.09,7.44
Tejas Networks,3209.89,229.87,13.96
ITD Cem,3192.67,472.98,6.75
Hathway Cable,3189.1,138.65,23.0
Dhanuka Agritech,3188.62,221.51,14.39
Mahindra Logis.,3187.51,835.06,3.82
Heritage Foods,3185.45,581.74,5.48
Mah. Seamless,3164.73,563.66,5.61
Navneet Educat.,3148.36,174.41,18.05
Firstsour.Solu.,3139.94,887.24,3.54
Kaveri Seed Co.,3125.83,70.64,44.25
Star Ferro Cem.,3115.98,393.49,7.92
Deepak Fert.,3079.06,1644.92,1.87
Va Tech Wabag,3041.93,460.89,6.6
Prime Focus,3031.5,609.61,4.97
Lak. Vilas Bank,3029.57,790.17,3.83
NOCIL,3026.26,249.27,12.14
Orient Cement,3024.32,511.53,5.91
Natl.Fertilizer,3017.07,2840.75,1.06
L T Foods,9885.05,1137.17,8.69
